iter	Passed	Remaining
791	1137	298
792	1140	297
793	1141	296
794	1142	294
795	1143	293
796	1145	291
797	1146	290
798	1147	288
799	1148	287
800	1149	285
801	1150	284
802	1151	282
803	1152	280
804	1155	279
805	1156	278
806	1157	276
807	1158	275
808	1159	273
809	1160	272
810	1161	270
811	1162	269
812	1163	267
813	1164	265
814	1164	264
815	1165	262
816	1166	261
817	1169	260
818	1171	258
819	1172	257
820	1173	255
821	1174	254
822	1175	252
823	1176	251
824	1177	249
825	1178	248
826	1179	246
827	1180	245
828	1181	243
829	1182	242
830	1184	240
831	1186	239
832	1187	237
833	1188	236
834	1189	234
835	1190	233
836	1190	231
837	1191	230
838	1192	228
839	1193	227
840	1194	225
841	1195	224
842	1196	222
843	1197	221
844	1199	220
845	1201	218
846	1202	217
847	1203	215
848	1204	214
849	1205	212
850	1205	211
851	1206	209
852	1207	208
853	1208	206
854	1210	205
855	1211	203
856	1212	202
857	1214	201
858	1215	199
859	1216	198
860	1217	196
861	1218	195
862	1219	193
863	1220	192
864	1221	190
865	1222	189
866	1223	187
867	1224	186
868	1225	184
869	1226	183
870	1227	181
871	1229	180
872	1230	178
873	1231	177
874	1232	176
875	1233	174
876	1234	173
877	1235	171
878	1236	170
879	1237	168
880	1238	167
881	1239	165
882	1240	164
883	1241	162
884	1242	161
885	1244	160
886	1245	158
887	1246	157
888	1247	155
889	1248	154
890	1250	152
891	1251	151
892	1252	150
893	1253	148
894	1253	147
895	1254	145
896	1255	144
897	1257	142
898	1258	141
899	1259	139
900	1260	138
901	1261	137
902	1262	135
903	1263	134
904	1265	132
905	1266	131
906	1267	129
907	1268	128
908	1269	127
909	1270	125
910	1272	124
911	1273	122
912	1274	121
913	1275	120
914	1276	118
915	1278	117
916	1279	115
917	1280	114
918	1282	113
919	1283	111
920	1285	110
921	1288	109
922	1289	107
923	1291	106
924	1292	104
925	1293	103
926	1294	101
927	1295	100
928	1295	99
929	1296	97
930	1297	96
931	1298	94
932	1299	93
933	1301	91
934	1303	90
935	1304	89
936	1305	87
937	1306	86
938	1307	84
939	1308	83
940	1309	82
941	1310	80
942	1311	79
943	1312	77
944	1313	76
945	1314	75
946	1315	73
947	1317	72
948	1318	70
949	1319	69
950	1320	68
951	1321	66
952	1322	65
953	1323	63
954	1324	62
955	1325	60
956	1326	59
957	1326	58
958	1327	56
959	1328	55
960	1330	53
961	1332	52
962	1333	51
963	1334	49
964	1335	48
965	1336	47
966	1337	45
967	1337	44
968	1338	42
969	1339	41
970	1340	40
971	1341	38
972	1342	37
973	1343	35
974	1346	34
975	1348	33
976	1349	31
977	1350	30
978	1351	28
979	1353	27
980	1354	26
981	1355	24
982	1356	23
983	1357	22
984	1358	20
985	1358	19
986	1361	17
987	1362	16
988	1363	15
989	1364	13
990	1365	12
991	1366	11
992	1367	9
993	1369	8
994	1370	6
995	1371	5
996	1371	4
997	1372	2
998	1373	1
999	1376	0
